id_hecho,n_victimas,fecha,franja_horaria,direccion_normalizada,comuna,longitud,latitud,victima,acusado,rol,sexo,edad,gravedad,dia_semana
2016-0076,1,2016-06-13,16.0,SAN MARTIN AV. y CAMARONES,15,-58.46210891,-34.60356211,PEATON,PASAJEROS,PEATON,femenino,53.0,fatal,Monday
2016-0077,1,2016-06-13,21.0,"PERON, JUAN DOMINGO, TTE. GENERAL y ALEM, LEANDRO N. AV.",1,-58.37027770,-34.60536123,PEATON,PASAJEROS,PEATON,femenino,,lesionado,Monday
2016-0078,1,2016-06-13,23.0,BELGRANO AV. y JUJUY AV.,3,-58.40491455,-34.61463830,MOTO,MOTO,CONDUCTOR,masculino,30.0,lesionado,Monday
2016-0079,1,2016-06-16,17.0,"DEL LIBERTADOR AV. y UDAONDO, GUILLERMO AV.",13,-58.45504154,-34.54864492,AUTO,AUTO,CONDUCTOR,femenino,51.0,lesionado,Thursday
2016-0080,1,2016-06-18,6.0,"PAZ, GRAL. AV. y RIVADAVIA AV.",9,-58.52927982,-34.63931752,AUTO,,CONDUCTOR,masculino,60.0,lesionado,Saturday
2016-0081,1,2016-06-22,7.0,"LARRALDE, CRISOLOGO AV. y MACHAIN",12,-58.48721060,-34.55904606,MOTO,AUTO,CONDUCTOR,masculino,40.0,lesionado,Wednesday
2016-0082,1,2016-06-27,18.0,LA PLATA AV. 2384,4,-58.42273092,-34.64228803,PEATON,AUTO,PEATON,masculino,87.0,fatal,Monday
2016-0083,1,2016-06-28,20.0,"ALBERDI, JUAN BAUTISTA AV. y PUAN",6,-58.44788671,-34.62539009,PEATON,MOTO,PEATON,femenino,76.0,fatal,Tuesday
2016-0084,1,2016-06-29,22.0,"PELLEGRINI, CARLOS y TUCUMAN",1,-58.38110563,-34.60135531,PEATON,PASAJEROS,PEATON,masculino,57.0,fatal,Wednesday
2016-0085,1,2016-06-29,22.0,"RABANAL, FRANCISCO, INTENDENTE AV. y EREZCANO",4,-58.42378834,-34.65734100,MOTO,OTRO,,masculino,,lesionado,Wednesday
2016-0086,1,2016-06-30,16.0,"OLIVERA AV. y FALCON, RAMON L.,CNEL.",10,-58.48727942,-34.63652467,PEATON,PASAJEROS,PEATON,masculino,75.0,fatal,Thursday
2016-0087,1,2016-07-02,0.0,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI y CASEROS AV.,1,-58.37864583,-34.62907067,MOTO,OBJETO FIJO,CONDUCTOR,masculino,23.0,fatal,Saturday
2016-0088,1,2016-07-11,15.0,CERETTI y NUÃ‘EZ,12,-58.50151750,-34.56767549,PEATON,AUTO,PEATON,femenino,70.0,fatal,Monday
2016-0089,1,2016-07-14,6.0,"LUGONES, LEOPOLDO AV. y LA PAMPA",13,-58.43233425,-34.55185825,PEATON,AUTO,PEATON,masculino,35.0,fatal,Thursday
2016-0090,1,2016-07-14,22.0,"SALGUERO, JERONIMO y RIVADAVIA AV.",5,-58.41971993,-34.61112240,PEATON,PASAJEROS,PEATON,masculino,60.0,fatal,Thursday
2016-0092,1,2016-07-15,11.0,"PAZ, GRAL. AV. y DEL LIBERTADOR AV.",13,-58.46743471,-34.53476874,MOTO,CARGAS,CONDUCTOR,masculino,24.0,fatal,Friday
2016-0093,1,2016-07-17,3.0,"ALBERDI, JUAN BAUTISTA AV. y MITRE, EMILIO",6,-58.44362126,-34.62301748,AUTO,AUTO,CONDUCTOR,masculino,35.0,fatal,Sunday
2016-0095,1,2016-07-23,6.0,MERCEDES y MOSCONI GENERAL AV.,11,-58.51713095,-34.59546519,MOTO,AUTO,CONDUCTOR,masculino,29.0,fatal,Saturday
2016-0096,1,2016-07-25,7.0,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,8,-58.47433193007387,-34.66684950051973,MOTO,CARGAS,CONDUCTOR,masculino,,lesionado,Monday
2016-0097,1,2016-07-26,18.0,SOLIS y MEXICO,1,-58.39038605,-34.61562810,PEATON,AUTO,PEATON,masculino,80.0,fatal,Tuesday
2016-0098,1,2016-07-27,16.0,SAN JUAN AV. y ALBERTI,3,-58.40042405,-34.62356174,MOTO,CARGAS,CONDUCTOR,femenino,43.0,lesionado,Wednesday
2016-0099,1,2016-07-29,16.0,"MOSCONI GENERAL AV. y PAZ, GRAL. AV.",11,-58.52340614,-34.59798754,CARGAS,CARGAS,CONDUCTOR,masculino,45.0,lesionado,Friday
2016-0100,1,2016-08-03,23.0,"PAZ, GRAL. AV. y DONADO",12,-58.49491054,-34.54795581,MOTO,OBJETO FIJO,CONDUCTOR,masculino,57.0,fatal,Wednesday
2016-0101,1,2016-08-07,19.0,"PAZ, GRAL. AV. y CHAVEZ, JORGE",9,-58.52932872,-34.65014993,,,,masculino,67.0,lesionado,Sunday
2016-0102,1,2016-08-10,23.0,"PERON, EVA AV. y SUAREZ, JOSE LEON",9,-58.50011639,-34.67316502,MOTO,CARGAS,CONDUCTOR,masculino,29.0,lesionado,Wednesday
2016-0104,1,2016-08-14,21.0,ZINNY y SANTIAGO DE COMPOSTELA AV.,9,-58.46635001,-34.65624369,MOTO,PASAJEROS,CONDUCTOR,masculino,21.0,fatal,Sunday
2016-0105,1,2016-08-17,0.0,"LACROZE, FEDERICO AV. y FRAGA",15,-58.45343236,-34.58435809,PEATON,PASAJEROS,PEATON,masculino,19.0,fatal,Wednesday
2016-0106,1,2016-08-19,21.0,"PELLEGRINI, CARLOS y DEL LIBERTADOR AV.",1,-58.38090932,-34.58927731,PEATON,PASAJEROS,PEATON,masculino,38.0,lesionado,Friday
2016-0107,1,2016-08-20,8.0,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI y DON PEDRO DE MENDOZA AV.,4,-58.37157668,-34.65429986,MOTO,AUTO,CONDUCTOR,masculino,21.0,lesionado,Saturday
2016-0109,1,2016-08-24,5.0,AUTOPISTA PERITO MORENO y BARRAGAN,9,-58.52280139,-34.63659934,AUTO,OBJETO FIJO,CONDUCTOR,femenino,53.0,fatal,Wednesday
2016-0110,1,2016-08-24,20.0,"ALBERDI, JUAN BAUTISTA AV. y CARHUE",9,-58.51232237,-34.65903530,PEATON,,PEATON,masculino,57.0,lesionado,Wednesday
2016-0111,1,2016-08-25,9.0,LUGONES y LA PAMPA,15,-58.47461905,-34.57663634,MOTO,CARGAS,CONDUCTOR,masculino,27.0,fatal,Thursday
2016-0112,1,2016-08-27,4.0,AUTOPISTA 25 DE MAYO y AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,1,-58.38268809,-34.62282019,MOTO,OBJETO FIJO,CONDUCTOR,masculino,24.0,fatal,Saturday
2016-0113,1,2016-08-27,16.0,"ALBERDI, JUAN BAUTISTA AV. y GUARDIA NACIONAL",9,-58.49603546,-34.64564271,PEATON,PASAJEROS,PEATON,femenino,60.0,lesionado,Saturday
2016-0114,1,2016-08-31,11.0,"SALGUERO, JERONIMO 1410",14,-58.41848605,-34.59394733,BICICLETA,CARGAS,CICLISTA,femenino,55.0,fatal,Wednesday
2016-0115,1,2016-09-02,11.0,ARIAS y TRONADOR,12,-58.48935041,-34.54917673,,CARGAS,,masculino,,lesionado,Friday
2016-0116,1,2016-09-02,20.0,27 DE FEBRERO AV. y ESCALADA AV.,8,-58.44451316,-34.68475866,MOTO,AUTO,CONDUCTOR,masculino,30.0,fatal,Friday
2016-0117,1,2016-09-03,15.0,DEL LIBERTADOR AV. y TAGLE,14,-58.39936478,-34.58271474,AUTO,AUTO,CONDUCTOR,masculino,43.0,lesionado,Saturday
2016-0118,1,2016-09-04,3.0,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI KM. 2.9,1,-58.37936704,-34.62694503,AUTO,AUTO,CONDUCTOR,masculino,27.0,fatal,Sunday
2016-0119,1,2016-09-04,6.0,"LARRALDE, CRISOLOGO AV. y TRIUNVIRATO AV.",12,-58.49659234,-34.56353635,,,PASAJERO_ACOMPAÑANTE,femenino,,lesionado,Sunday
2016-0122,1,2016-09-13,7.0,"PERON, EVA AV. 4233",9,-58.47256391,-34.65194557,BICICLETA,PASAJEROS,CICLISTA,masculino,49.0,fatal,Tuesday
2016-0123,1,2016-09-14,9.0,"ASAMBLEA AV. y BONORINO, ESTEBAN, CNEL. AV.",7,-58.45130953,-34.64053676,MOTO,AUTO,CONDUCTOR,femenino,58.0,lesionado,Wednesday
2016-0124,1,2016-09-16,15.0,RIVADAVIA AV. y RIVERA INDARTE AV.,7,-58.46271207,-34.62884871,PEATON,PASAJEROS,PEATON,masculino,67.0,lesionado,Friday
2016-0125,1,2016-09-17,12.0,"AUTOPISTA PERITO MORENO y ALBERDI, JUAN BAUTISTA AV.",10,-58.49020869,-34.64243791,MOTO,MOTO,CONDUCTOR,masculino,30.0,lesionado,Saturday
2016-0126,2,2016-09-18,22.0,IRIGOYEN y TINOGASTA,10,-58.52572109,-34.62125906,AUTO,CARGAS,CONDUCTOR,masculino,37.0,lesionado,Sunday
2016-0126,2,2016-09-18,22.0,IRIGOYEN y TINOGASTA,10,-58.52572109,-34.62125906,AUTO,CARGAS,PASAJERO_ACOMPAÑANTE,masculino,60.0,lesionado,Sunday
2016-0127,1,2016-09-24,10.0,"ACOSTA, MARIANO y ROCA, CNEL. AV.",8,-58.44094791,-34.66677111,PEATON,PASAJEROS,PEATON,masculino,50.0,lesionado,Saturday
2016-0128,1,2016-10-02,11.0,CASTRO y PAVON AV.,5,-58.41914024,-34.63053890,PEATON,PASAJEROS,PEATON,femenino,81.0,fatal,Sunday
2016-0130,1,2016-10-04,12.0,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI y BRASIL,1,-58.37910942,-34.62764717,MOTO,CARGAS,CONDUCTOR,masculino,29.0,fatal,Tuesday
2016-0131,1,2016-10-09,19.0,MIRAVE 3500,4,-58.39871183,-34.64539318,PEATON,AUTO,PEATON,masculino,35.0,lesionado,Sunday
2016-0132,1,2016-10-10,2.0,SAN JUAN AV. y 24 DE NOVIEMBRE,3,-58.41036975,-34.62477021,AUTO,PASAJEROS,PASAJERO_ACOMPAÑANTE,masculino,30.0,fatal,Monday
2016-0133,1,2016-10-14,0.0,LAS HERAS GENERAL AV. y SANCHEZ DE BUSTAMANTE,14,-58.40204698,-34.58342690,MOTO,AUTO,CONDUCTOR,masculino,41.0,fatal,Friday
2016-0134,1,2016-10-23,5.0,PIEDRA BUENA AV. y 2 DE ABRIL DE 1982,8,-58.48935287,-34.67648597,MOTO,OBJETO FIJO,CONDUCTOR,masculino,25.0,fatal,Sunday
2016-0135,1,2016-10-24,5.0,"FIGUEROA ALCORTA, PRES. AV. y PINEDO, INT.",14,-58.42260225,-34.56403694,PEATON,,PEATON,masculino,29.0,fatal,Monday
2016-0136,1,2016-10-25,0.0,"Diogenes Taborda 1178, Nueva Pompeya",4,-58.408791,-34.652732,MOTO,CARGAS,CONDUCTOR,,,lesionado,Tuesday
2016-0137,1,2016-10-25,0.0,SAN MARTIN AV. y LADINES,11,-58.51537091,-34.59035925,MOTO,MOTO,CONDUCTOR,masculino,30.0,lesionado,Tuesday
2016-0138,1,2016-10-27,20.0,CABILDO AV. y BLANCO ENCALADA,13,-58.45909670,-34.55922742,BICICLETA,CARGAS,CICLISTA,femenino,33.0,lesionado,Thursday
2016-0139,1,2016-10-28,23.0,"FIGUEROA ALCORTA, PRES. AV. y DORREGO AV.",14,-58.42008769,-34.56539579,MOTO,MOTO,PASAJERO_ACOMPAÑANTE,femenino,35.0,lesionado,Friday
2016-0140,1,2016-10-31,2.0,JURAMENTO AV. y VUELTA DE OBLIGADO,13,-58.45566399,-34.56147293,PASAJEROS,PASAJEROS,PASAJERO_ACOMPAÑANTE,masculino,20.0,lesionado,Monday
2016-0142,1,2016-11-05,23.0,"DEL LIBERTADOR AV. y RAMOS MEJIA, JOSE MARIA, DR. AV.",1,-58.37533517,-34.59276462,MOTO,PASAJEROS,CONDUCTOR,masculino,46.0,fatal,Saturday
2016-0143,1,2016-11-06,4.0,27 DE FEBRERO AV. y ESCALADA AV.,8,-58.44451316,-34.68475866,MOTO,,CONDUCTOR,masculino,35.0,lesionado,Sunday
2016-0144,1,2016-11-07,12.0,"BROWN, ALTE. AV. 984",4,-58.35975012,-34.63343907,PEATON,PASAJEROS,PEATON,masculino,83.0,lesionado,Monday
2016-0145,1,2016-11-07,20.0,DEL LIBERTADOR AV. y LA PAMPA,13,-58.44523595,-34.55953855,MOTO,AUTO,CONDUCTOR,masculino,39.0,fatal,Monday
2016-0146,1,2016-11-09,20.0,PICHINCHA AV. y BRASIL,4,-58.39626094,-34.63036565,PEATON,PASAJEROS,PEATON,femenino,29.0,lesionado,Wednesday
2016-0147,1,2016-11-16,21.0,"INDEPENDENCIA AV. y CEVALLOS, VIRREY",1,-58.38896772,-34.61799615,MOVIL,PASAJEROS,PASAJERO_ACOMPAÑANTE,masculino,55.0,fatal,Wednesday
2016-0148,1,2016-11-16,22.0,GARMENDIA AV. 4895,15,-58.46536113,-34.59484504,MOTO,MOTO,CONDUCTOR,masculino,,lesionado,Wednesday
2016-0150,1,2016-11-18,18.0,"ALCORTA, AMANCIO AV. y TABORDA, DIOGENES",4,-58.40879146,-34.65273216,CARGAS,CARGAS,PASAJERO_ACOMPAÑANTE,masculino,41.0,fatal,Friday
2016-0151,1,2016-11-18,20.0,"ALCORTA, AMANCIO AV. y TABORDA, DIOGENES",4,-58.40879146,-34.65273216,PEATON,,PEATON,,,lesionado,Friday
2016-0152,1,2016-11-23,21.0,"MORENO, PERITO AV. y ZUVIRIA",7,-58.46451841,-34.64991946,MOTO,AUTO,CONDUCTOR,masculino,42.0,fatal,Wednesday
2016-0153,1,2016-11-25,15.0,ARAOZ y CORDOBA AV.,15,-58.42917090,-34.59485488,PEATON,MOTO,PEATON,femenino,83.0,fatal,Friday
2016-0154,1,2016-11-26,14.0,"PAZ, GRAL. AV. 15200",8,-58.49007772,-34.68251141,MOTO,MOTO,CONDUCTOR,masculino,38.0,lesionado,Saturday
2016-0155,1,2016-11-26,16.0,MADERO 900,10,-58.52756365,-34.62772274,PEATON,AUTO,PEATON,femenino,29.0,lesionado,Saturday
2016-0156,1,2016-11-26,19.0,INDEPENDENCIA AV. y DEAN FUNES,3,-58.40638983,-34.61943202,MOTO,PASAJEROS,CONDUCTOR,masculino,23.0,fatal,Saturday
2016-0157,1,2016-12-03,6.0,"JUSTO, JUAN B. AV. 5645",11,-58.47576807,-34.61740997,MOTO,MOTO,CONDUCTOR,masculino,23.0,lesionado,Saturday
2016-0159,1,2016-12-04,7.0,27 DE FEBRERO AV. y ESCALADA AV.,8,-58.44451316,-34.68475866,AUTO,,CONDUCTOR,masculino,23.0,lesionado,Sunday
2016-0160,1,2016-12-06,5.0,AUTOPISTA PERITO MORENO (ALTURA VELEZ SARSFIELD),9,-58.51927194,-34.63635787,CARGAS,OBJETO FIJO,CONDUCTOR,masculino,29.0,fatal,Tuesday
2016-0161,1,2016-12-06,7.0,SANTA FE AV. y GODOY CRUZ,14,-58.42525456,-34.57866344,PEATON,PASAJEROS,PEATON,masculino,50.0,fatal,Tuesday
2016-0162,1,2016-12-07,5.0,"LACROZE, FEDERICO AV. y FOREST AV.",15,-58.45396573,-34.58518167,PEATON,AUTO,PEATON,masculino,38.0,fatal,Wednesday
2016-0163,1,2016-12-10,7.0,"PAZ, GRAL. AV. y MOSCONI GENERAL AV.",11,-58.52340614,-34.59798754,MOTO,AUTO,CONDUCTOR,masculino,23.0,lesionado,Saturday
2016-0164,1,2016-12-11,6.0,"LA PLATA AV. y POMAR, GREGORIO TTE. CNEL.",4,-58.42323628,-34.64119105,AUTO,AUTO,CONDUCTOR,masculino,29.0,lesionado,Sunday
2016-0165,1,2016-12-12,8.0,"GARCIA, MARTIN AV. 300",4,-58.36926144,-34.62841919,BICICLETA,PASAJEROS,CICLISTA,masculino,37.0,lesionado,Monday
2016-0168,1,2016-12-13,10.0,"LA PLATA AV. y POMAR, GREGORIO TTE. CNEL.",4,-58.42323628,-34.64119105,MOTO,AUTO,CONDUCTOR,masculino,43.0,fatal,Tuesday
2016-0169,1,2016-12-15,15.0,"NUÃ‘EZ y BALBIN, RICARDO, DR. AV.",12,-58.47935434,-34.55676497,MOTO,PASAJEROS,CONDUCTOR,masculino,24.0,fatal,Thursday
2016-0170,1,2016-12-19,17.0,"PAZ, GRAL. AV. 4500",12,-58.50598256,-34.56379980,MOTO,AUTO,PASAJERO_ACOMPAÑANTE,masculino,21.0,fatal,Monday
2016-0171,1,2016-12-25,19.0,"HUERGO, ING. AV. y AUTOPISTA 25 DE MAYO",1,-58.36607137,-34.62150748,MOTO,MOTO,CONDUCTOR,,,lesionado,Sunday
2016-0172,1,2016-12-26,8.0,"GARAY, JUAN DE AV. y CASTRO",5,-58.41918902,-34.63174259,MOTO,CARGAS,CONDUCTOR,masculino,38.0,fatal,Monday
2016-0173,1,2016-12-26,19.0,DIRECTORIO AV. y SAN PEDRITO AV.,7,-58.46749188,-34.63551751,MOTO,CARGAS,CONDUCTOR,masculino,35.0,lesionado,Monday
